ID,Tên,Phân loại,Mã loại,Cấp,Giới tính,Tbi 2,Mô tả
37,Vô hạn khả di lệnh,Vật phẩm thường,27,1,Cả hai,,"Di chuyển nhanh qua các làng, trường"
38,Phúc nang nhẫn giả,Vật phẩm thường,27,1,Cả hai,,Sẽ có bất ngờ khi mở ra
39,Giầy cấp 1 nam,Giày,8,1,Nam,,
40,Sách võ công Hiyoko,Vật phẩm thường,27,10,Cả hai,,
41,Sách võ công Amagedon,Vật phẩm thường,27,15,Cả hai,,
42,Sách võ công Jizokuzan,Vật phẩm thường,27,20,Cả hai,,
43,Sách võ công Kakyuu,Vật phẩm thường,27,25,Cả hai,,
44,Sách võ công X Zangeki,Vật phẩm thường,27,30,Cả hai,,
45,Sách võ công Raikou,Vật phẩm thường,27,35,Cả hai,,
46,Sách võ công Hihebun,Vật phẩm thường,27,40,Cả hai,,
47,Sách võ công Shuurai,Vật phẩm thường,27,45,Cả hai,,
48,Sách võ công Choukouhirenzo,Vật phẩm thường,27,50,Cả hai,,
49,Sách võ công Otama,Vật phẩm thường,27,10,Cả hai,,
50,Sách võ công Itotama,Vật phẩm thường,27,15,Cả hai,,
51,Sách võ công Kasoushuriken,Vật phẩm thường,27,20,Cả hai,,
52,Sách võ công Taiyoutama,Vật phẩm thường,27,25,Cả hai,,
53,Sách võ công Bikoushuriken,Vật phẩm thường,27,30,Cả hai,,
54,Sách võ công Hoshitama,Vật phẩm thường,27,35,Cả hai,,
55,Sách võ công Hinotama,Vật phẩm thường,27,40,Cả hai,,
56,Sách võ công Hijoukai,Vật phẩm thường,27,45,Cả hai,,
57,Sách võ công Choukou shuriken,Vật phẩm thường,27,50,Cả hai,,
58,Sách võ công Yokobatan,Vật phẩm thường,27,10,Cả hai,,
59,Sách võ công Akaiame,Vật phẩm thường,27,15,Cả hai,,
60,Sách võ công Mizuibatan,Vật phẩm thường,27,20,Cả hai,,
61,Sách võ công Aoiame,Vật phẩm thường,27,25,Cả hai,,
62,Sách võ công Uzubatan,Vật phẩm thường,27,30,Cả hai,,
63,Sách võ công Hibikou,Vật phẩm thường,27,35,Cả hai,,
64,Sách võ công Kogoeru,Vật phẩm thường,27,40,Cả hai,,
65,Sách võ công Jotente,Vật phẩm thường,27,45,Cả hai,,
66,Sách võ công Choukoukogo,Vật phẩm thường,27,50,Cả hai,,
67,Sách võ công Uzusa,Vật phẩm thường,27,10,Cả hai,,
68,Sách võ công Washihitomi,Vật phẩm thường,27,15,Cả hai,,
69,Sách võ công Kinkinsa,Vật phẩm thường,27,20,Cả hai,,
70,Sách võ công Sogekihei,Vật phẩm thường,27,25,Cả hai,,
71,Sách võ công Nikinkinsa,Vật phẩm thường,27,30,Cả hai,,
72,Sách võ công Joutenhitomi,Vật phẩm thường,27,35,Cả hai,,
73,Sách võ công Kogosa,Vật phẩm thường,27,40,Cả hai,,
74,Sách võ công Kyshouma,Vật phẩm thường,27,45,Cả hai,,
75,Sách võ công Chousoukinkinsa,Vật phẩm thường,27,50,Cả hai,,
76,Sách võ công Enchokuto,Vật phẩm thường,27,10,Cả hai,,
77,Sách võ công Konoitoame,Vật phẩm thường,27,15,Cả hai,,
78,Sách võ công Maroyakato,Vật phẩm thường,27,20,Cả hai,,
79,Sách võ công Magumandari,Vật phẩm thường,27,25,Cả hai,,
80,Sách võ công Chousouto,Vật phẩm thường,27,30,Cả hai,,
81,Sách võ công Aisubaagu,Vật phẩm thường,27,35,Cả hai,,
82,Sách võ công Hayateto,Vật phẩm thường,27,40,Cả hai,,
83,Sách võ công Zenpanteki,Vật phẩm thường,27,45,Cả hai,,
84,Sách võ công Raikouto,Vật phẩm thường,27,50,Cả hai,,
85,Sách võ công Ouchia,Vật phẩm thường,27,10,Cả hai,,
86,Sách võ công Suishou,Vật phẩm thường,27,15,Cả hai,,
87,Sách võ công Oouchia,Vật phẩm thường,27,20,Cả hai,,
88,Sách võ công Kusenmono,Vật phẩm thường,27,25,Cả hai,,
89,Sách võ công Bakkuuchiha,Vật phẩm thường,27,30,Cả hai,,
90,Sách võ công Hayatemi,Vật phẩm thường,27,35,Cả hai,,
91,Sách võ công Bousouhayate,Vật phẩm thường,27,40,Cả hai,,
92,Sách võ công Toruneedo,Vật phẩm thường,27,45,Cả hai,,
93,Sách võ công Tatsumaki,Vật phẩm thường,27,50,Cả hai,,
94,Bạch Hạc Kiếm,Vũ khí,1,10,Cả hai,,
95,Đả Lôi Kiếm,Vũ khí,1,20,Cả hai,,
96,Trấn Ma Kiếm,Vũ khí,1,30,Cả hai,,
97,Sinh Tử Kiếm,Vũ khí,1,40,Cả hai,,
98,Mộ Danh Kiếm,Vũ khí,1,50,Cả hai,,
99,Hắc Nanh Dao,Vũ khí,1,10,Cả hai,,
100,Xà Nhãn Dao,Vũ khí,1,20,Cả hai,,
101,Hộ Công Dao,Vũ khí,1,30,Cả hai,,
102,Vô Ảnh Dao,Vũ khí,1,40,Cả hai,,
103,Phượng Hoàng Dao,Vũ khí,1,50,Cả hai,,
104,Trãm Mã Đao,Vũ khí,1,10,Cả hai,,
105,Trãm Hổ Đao,Vũ khí,1,20,Cả hai,,
106,Khổng Đao,Vũ khí,1,30,Cả hai,,
107,Nộ Thiên Đao,Vũ khí,1,40,Cả hai,,
108,Thanh Long Đao,Vũ khí,1,50,Cả hai,,
109,Minh Nguyệt Cung,Vũ khí,1,10,Cả hai,,
110,Đằng Vân Cung,Vũ khí,1,20,Cả hai,,
111,Phụng Tiễn Cung,Vũ khí,1,30,Cả hai,,
112,Trác Tâm Cung,Vũ khí,1,40,Cả hai,,
113,Thiên Ý Cung,Vũ khí,1,50,Cả hai,,
114,Phàm Ý Tiêu,Vũ khí,1,10,Cả hai,,
115,Ưng nhãn Tiêu,Vũ khí,1,20,Cả hai,,
116,Mạc Sầu Tiêu,Vũ khí,1,30,Cả hai,,
117,Triệt Tà Tiêu,Vũ khí,1,40,Cả hai,,
118,Nhất Dương Tiêu,Vũ khí,1,50,Cả hai,,
119,Phong Ý Quạt,Vũ khí,1,10,Cả hai,,
120,Vũ Đan Quạt,Vũ khí,1,20,Cả hai,,
121,Phong Linh Quạt,Vũ khí,1,30,Cả hai,,
122,Vấn Thiên Quạt,Vũ khí,1,40,Cả hai,,
123,Phong Vũ Lôi Quạt,Vũ khí,1,50,Cả hai,,
124,Giày Thô Bố,Giày,8,11,Nam,,
125,Giày Thô Bố,Giày,8,11,Nữ,,
126,Giày Thô Ma,Giày,8,21,Nam,,
127,Giày Thô Ma,Giày,8,21,Nữ,,
128,Giày Thiên Tằm,Giày,8,31,Nam,,
129,Giày Thiên Tằm,Giày,8,31,Nữ,,
130,Hoắc Giáp Ngoa,Giày,8,41,Nam,,
131,Hoắc Giáp Ngoa,Giày,8,41,Nữ,,
132,Kim Giáp Ngoa,Giày,8,51,Nam,,
133,Kim Giáp Ngoa,Giày,8,51,Nữ,,
134,Quần Thố,Quần,6,13,Nam,,
135,Quần Thố,Quần,6,13,Nữ,,
136,Quần Vải Bông,Quần,6,23,Nam,,
137,Quần Vải Bông,Quần,6,23,Nữ,,
138,Quần Tơ Tằm,Quần,6,33,Nam,,
139,Quần Tơ Tằm,Quần,6,33,Nữ,,
140,Hoắc Giáp,Quần,6,43,Nam,,
141,Hoắc Giáp,Quần,6,43,Nữ,,
142,Kim Giáp,Quần,6,53,Nam,,
143,Kim Giáp,Quần,6,53,Nữ,,
144,Thanh Mã Thủ,Găng tay,4,15,Nam,,
145,Thanh Mã Thủ,Găng tay,4,15,Nữ,,
146,Huyết Hổ Thủ,Găng tay,4,25,Nam,,
147,Huyết Hổ Thủ,Găng tay,4,25,Nữ,,
148,Kim Long Thủ,Găng tay,4,35,Nam,,
149,Kim Long Thủ,Găng tay,4,35,Nữ,,
150,Hoắc Thiết Thủ,Găng tay,4,45,Nam,,
151,Hoắc Thiết Thủ,Găng tay,4,45,Nữ,,
152,Kim Triền Thủ,Găng tay,4,55,Nam,,
153,Kim Triền Thủ,Găng tay,4,55,Nữ,,
154,Áo Thố,Áo,2,17,Nam,,
155,Áo Thố,Áo,2,17,Nữ,,
156,Áo Vải Bông,Áo,2,27,Nam,,
157,Áo Vải Bông,Áo,2,27,Nữ,,
158,Áo Tơ Tằm,Áo,2,37,Nam,,
159,Áo Tơ Tằm,Áo,2,37,Nữ,,
160,Hoắc Giáp Y,Áo,2,47,Nam,,
161,Hoắc Giáp Y,Áo,2,47,Nữ,,
162,Kim Giáp Y,Áo,2,57,Nam,,
163,Kim Giáp Y,Áo,2,57,Nữ,,
164,Dây Thanh Tuyến,Nón,0,19,Nam,,
165,Thanh Ngọc Trâm,Nón,0,19,Nữ,,
166,Dây Huyết Tuyến,Nón,0,29,Nam,,
167,Hồng Bảo Trâm,Nón,0,29,Nữ,,
168,Dây Kim Tuyến,Nón,0,39,Nam,,
169,Kim Lân Trâm,Nón,0,39,Nữ,,
170,Dây Hoắc Tuyến,Nón,0,49,Nam,,
171,Bích Hoa Trâm,Nón,0,49,Nữ,,
172,Ngân Bội Tuyến,Nón,0,59,Nam,,
173,Ngân Hoa Trâm,Nón,0,59,Nữ,,
174,Bùa Hộ Thân,Bùa,9,12,Cả hai,,
175,Bùa Kháng Ma,Bùa,9,22,Cả hai,,
176,Bùa Phúc Mệnh,Bùa,9,32,Cả hai,,
177,Bùa Thánh Ý,Bùa,9,42,Cả hai,,
178,Bùa Vạn Phước,Bùa,9,52,Cả hai,,
179,Cẩm Thạch Bội ,Ngọc bội,7,14,Cả hai,,
180,Phỉ Thúy Bội,Ngọc bội,7,24,Cả hai,,
181,Bạch Ngọc Bội ,Ngọc bội,7,34,Cả hai,,
182,Ngọc Bội Hổ Phách,Ngọc bội,7,44,Cả hai,,
183,Thạch Anh Bội ,Ngọc bội,7,54,Cả hai,,
184,Nhẫn Bạc,Nhẫn,5,16,Cả hai,,
185,Nhẫn Mắt Mèo,Nhẫn,5,26,Cả hai,,
186,Nhẫn Thạch Lam,Nhẫn,5,36,Cả hai,,
187,Nhẫn Opal,Nhẫn,5,46,Cả hai,,
188,Nhẫn Kim cương,Nhẫn,5,56,Cả hai,,
189,Dây Chuyền Bạc,Dây chuyền,3,18,Cả hai,,
190,Dây Chuyền Bạch Kim,Dây chuyền,3,28,Cả hai,,
191,Dây Chuyền Vàng,Dây chuyền,3,38,Cả hai,,
192,Dây Chuyền Lục Bảo,Dây chuyền,3,48,Cả hai,,
193,Dây Chuyền Hồng Bảo,Dây chuyền,3,58,Cả hai,,
194,Kiếm Gỗ,Vũ khí,1,1,Cả hai,,
195,Giày,Giày,8,1,Nam,,
196,Giày,Giày,8,1,Nữ,,
197,Quần Da Thú,Quần,6,3,Nam,,
198,Quần Da Thú,Quần,6,3,Nữ,,
199,Găng Tay,Găng tay,4,5,Nam,,
200,Găng Tay,Găng tay,4,5,Nữ,,
201,Áo Da Thú,Áo,2,7,Nam,,
202,Áo Da Thú,Áo,2,7,Nữ,,
203,Dây Bạch Tuyến,Nón,0,9,Nam,,
204,Trâm Cài,Nón,0,9,Nữ,,
205,Bùa Bình An,Bùa,9,2,Cả hai,,
206,Ngọc Bội,Ngọc bội,7,4,Cả hai,,
207,Nhẫn,Nhẫn,5,6,Cả hai,,
208,Dây Chuyền,Dây chuyền,3,8,Cả hai,,
209,Lông nhím,Vật phẩm nhiệm vụ,25,1,Cả hai,,Trưởng làng cần vật phẩm này
210,Da thỏ,Vật phẩm nhiệm vụ,25,1,Cả hai,,Trưởng làng cần vật phẩm này
211,Bông thảo dược,Vật phẩm nhiệm vụ,25,1,Cả hai,,Dùng để chế thuốc
212,Khoáng thạch,Vật phẩm nhiệm vụ,25,1,Cả hai,,Dùng làm đồ trang sức
213,Vỏ Ốc Đá,Vật phẩm nhiệm vụ,25,1,Cả hai,,Dùng làm đồ trang sức
214,Thư liên lạc,Vật phẩm nhiệm vụ (giữ),23,1,Cả hai,,Vật phẩm nhiệm vụ
215,Túi vải cấp 1,Vật phẩm thường,27,1,Cả hai,,Mở thêm 6 ô trong hành trang
216,Nhị hầu tửu,Vật phẩm nhiệm vụ,25,1,Cả hai,,Nguyên liệu đặc biệt chữa vết thương
217,Xác Châu Chấu,Vật phẩm nhiệm vụ,25,1,Cả hai,,Nguyên liệu đặc biệt chữa vết thương
218,Sushi,Thịt,21,1,Cả hai,,
219,Bình rỗng,Vật phẩm nhiệm vụ (chờ),24,1,Cả hai,,Dùng để chứa nước
220,Bình nước,Vật phẩm nhiệm vụ (giữ),23,1,Cả hai,,Bên trong chứa đầy nước
221,Rìu Bạc,Vật phẩm nhiệm vụ (giữ),23,1,Cả hai,,Vật trấn ngư chi bảo Làng Chài
222,Ngọc 1 sao,Ngọc rồng,22,1,Cả hai,,Hội tụ 7 viên sẽ được phần thưởng giá trị
223,Ngọc 2 sao,Ngọc rồng,22,1,Cả hai,,Hội tụ 7 viên sẽ được phần thưởng giá trị
224,Ngọc 3 sao,Ngọc rồng,22,1,Cả hai,,Hội tụ 7 viên sẽ được phần thưởng giá trị
225,Ngọc 4 sao,Ngọc rồng,22,1,Cả hai,,Hội tụ 7 viên sẽ được phần thưởng giá trị
226,Ngọc 5 sao,Ngọc rồng,22,1,Cả hai,,Hội tụ 7 viên sẽ được phần thưởng giá trị
227,Ngọc 6 sao,Ngọc rồng,22,1,Cả hai,,Hội tụ 7 viên sẽ được phần thưởng giá trị
228,Ngọc 7 sao,Ngọc rồng,22,1,Cả hai,,Hội tụ 7 viên sẽ được phần thưởng giá trị
229,Túi vải cấp 2,Vật phẩm thường,27,5,Cả hai,,Mở thêm 6 ô trong hành trang
230,Chìa khóa cơ quan,Vật phẩm nhiệm vụ,25,34,Cả hai,,Vật phẩm nhiệm vụ
231,Chìa khóa cơ quan,Vật phẩm nhiệm vụ,25,34,Cả hai,,Dùng để mở cửa địa đạo
232,Địa đồ,Vật phẩm nhiệm vụ (giữ),23,35,Cả hai,,Vật phẩm nhiệm vụ
233,Địa đồ,Vật phẩm nhiệm vụ (chờ),24,35,Cả hai,,Khi sử dụng sẽ cho biết tọa độ cần đến
234,Địa đồ,Vật phẩm nhiệm vụ (chờ),24,35,Cả hai,,Khi sử dụng sẽ cho biết tọa độ cần đến
235,Địa đồ,Vật phẩm nhiệm vụ (chờ),24,35,Cả hai,,Khi sử dụng sẽ cho biết tọa độ cần đến
236,Tinh thể băng,Vật phẩm nhiệm vụ (giữ),23,1,Cả hai,,Vật phẩm nhiệm vụ
237,Tinh thể băng,Vật phẩm nhiệm vụ (giữ),23,1,Cả hai,,Có thể trung hòa nhiệt độ
238,Xác dơi lửa,Vật phẩm nhiệm vụ (giữ),23,41,Cả hai,,
239,Xác dơi lửa,Vật phẩm nhiệm vụ (giữ),23,41,Cả hai,,Đã bị đóng băng
240,Giấy phép tẩy tiềm năng,Vật phẩm thường,27,10,Cả hai,,Sử dụng sẽ tăng 1 lần tẩy tiềm năng
241,Giấy phép tẩy kỹ năng,Vật phẩm thường,27,10,Cả hai,,Sử dụng sẽ tăng 1 lần tẩy kỹ năng
242,Bảo hiểm sơ cấp,Bảo vệ,28,1,Cả hai,,Bảo hiểm nâng cấp trang bị từ cấp 1 đến cấp 8
243,Chuyển hóa y phục,Vật phẩm thường,27,1,Cả hai,,Chuyển cấp độ từ y phục qua y phục
244,Chuyển hóa trang sức,Vật phẩm thường,27,1,Cả hai,,Chuyển cấp độ từ trang sức qua trang sức
245,Chuyển hóa vũ khí,Vật phẩm thường,27,1,Cả hai,,Chuyển cấp độ từ vũ khí qua vũ khí
246,Dơi đen,Thú nuôi,10,1,Cả hai,,Hỗ trợ tấn công quái
247,Thỏi bạc,Vật phẩm thường,27,1,Cả hai,,Có thể đổi lấy xu hoặc yên
248,Nấm linh chi,Vật phẩm thường,27,1,Cả hai,,"Nhân 2 kinh nghiệm đánh quái. Duy trì 5h, cộng dồn khi sử dụng."
249,Sashimi cao cấp,Đồ ăn,18,30,Cả hai,,"Nữa giây phục hồi 40 HP, MP duy trì 3 ngày"
250,Gà quay cao cấp,Đồ ăn,18,40,Cả hai,,"Nữa giây phục hồi 50 HP, MP duy trì 3 ngày"
251,Mảnh giấy vụn,Vật phẩm thường,27,1,Cả hai,,Dùng để đổi sách tiềm năng hoặc sách kỹ năng
252,Sách kỹ năng sơ cấp,Vật phẩm thường,27,10,Cả hai,,"Học xong sẽ tăng 1 điểm kỹ năng, được học tối đa 3 quyển"
253,Sách tiềm năng sơ cấp,Vật phẩm thường,27,10,Cả hai,,"Học xong sẽ tăng 10 điểm tiềm năng, được học tối đa 3 quyển"
254,Hoàn cốt chi chú sơ cấp,Vật phẩm thường,27,1,Cả hai,,Xóa sạch kinh nghiệm âm dưới cấp 30
255,Hoàn cốt chi chú trung cấp,Vật phẩm thường,27,30,Cả hai,,Xóa sạch kinh nghiệm âm dưới cấp 60
256,Hoàn cốt chi chú cao cấp,Vật phẩm thường,27,60,Cả hai,,Xóa sạch kinh nghiệm âm cấp 60 trở lên
257,Hoàn lương chi thảo,Vật phẩm thường,27,1,Cả hai,,Mỗi lần sử dụng giảm 5 điểm hiếu chiến
258,Mặt nạ Sasuke,Mặt nạ,11,10,Nam,,Giúp thay đổi diện mạo
259,Mặt nạ Muramasa,Mặt nạ,11,10,Nữ,,Giúp thay đổi diện mạo
260,Chìa khóa Lãnh Địa Gia Tộc,Vật phẩm thường,27,1,Cả hai,,Dùng để mở cơ quan lãnh địa gia tộc
261,Lam Thảo dược,Vật phẩm thường,27,1,Cả hai,,Giúp tập trung thị lực
262,Đồng tiền gia tộc,Túi tiền,20,1,Cả hai,,Dùng để đổi túi quà gia tộc
263,Túi quà gia tộc,Vật phẩm thường,27,1,Cả hai,,Nếu may mắn có thể sẽ mở ra hoán chuyển sơ cấp
264,Giỏ Cá hổ,Vật phẩm nhiệm vụ,25,1,Cả hai,,Bên trong chứa Cá hổ
265,Giỏ Rắn tía,Vật phẩm nhiệm vụ,25,1,Cả hai,,Bên trong chứa Rắn tía
266,Cần câu,Vật phẩm nhiệm vụ (chờ),24,49,Cả hai,,Vật phẩm nhiệm vụ
267,Guốc gỗ,Vật phẩm nhiệm vụ,25,1,Cả hai,,Đồ dùng của Soba
268,Tà thú lệnh,Vật phẩm thường,27,1,Cả hai,,"Dùng để tăng số lần truy bắt tà thú, mỗi ngày dùng tối đa 2 lần"
269,Hoán chuyển sơ cấp,Vật phẩm thường,27,1,Cả hai,,Chuyển hóa trang bị từ cấp 1 đến cấp 10
270,Hoán chuyển trung cấp,Vật phẩm thường,27,1,Cả hai,,Chuyển hóa trang bị từ cấp 1 đến cấp 13
271,Hoán chuyển cao cấp,Vật phẩm thường,27,1,Cả hai,,Chuyển hóa trang bị từ cấp 1 đến cấp 16
272,Rương may mắn,Vật phẩm thường,27,1,Cả hai,,Nếu may mắn có thể sẽ mở ra bảo hiểm nâng cấp
273,Mặt nạ sát thủ,Mặt nạ,11,20,Nam,,Giúp thay đổi diện mạo
274,Mặt nạ trinh sát,Mặt nạ,11,20,Nữ,,Giúp thay đổi diện mạo
275,Minh Mẫn Đan,Vật phẩm thường,27,20,Cả hai,,Tăng 500 độ chính xác duy trì 10 phút
276,Long Lực Đan,Vật phẩm thường,27,20,Cả hai,,Tăng 500% tấn công cơ bản duy trì 10 phút
277,Kháng Thể Đan,Vật phẩm thường,27,20,Cả hai,,Tăng 100 kháng tất cả duy trì 10 phút
278,Sinh Mệnh Đan,Vật phẩm thường,27,20,Cả hai,,Tăng 1000 HP duy trì 10 phút
279,Vạn biến lệnh,Vật phẩm thường,27,10,Cả hai,,Di chuyển nhanh tới người chơi khác
280,Lệnh bài hang động,Vật phẩm thường,27,20,Cả hai,,"Tăng thêm 1 lần vào hang động, mỗi ngày sử dụng tối đa 1 cái"
281,Lệnh bài gia tộc,Vật phẩm thường,27,20,Cả hai,,"Tăng thêm 1 lần vào lãnh địa gia tộc, mỗi tuần sử dụng tối đa 4 cái, sẽ khóa sau khi mua."
282,Rương tinh xảo,Vật phẩm thường,27,20,Cả hai,,Bên trong chứa đầy vật phẩm có giá trị
283,Túi vải cấp 3,Vật phẩm thường,27,1,Cả hai,,Mở thêm 12 ô trong hành trang
284,Bảo hiểm trung cấp,Bảo vệ,28,1,Cả hai,,Bảo hiểm nâng cấp trang bị từ cấp 1 đến cấp 12
285,Bảo hiểm cao cấp,Bảo vệ,28,1,Cả hai,,Bảo hiểm nâng cấp trang bị từ cấp 1 đến cấp 14
286,Mặt nạ Koumou,Mặt nạ,11,30,Nam,,Giúp thay đổi diện mạo
287,Mặt nạ Ryokuhatsu,Mặt nạ,11,30,Nữ,,Giúp thay đổi diện mạo
288,Thất thú thú bảo,Vật phẩm thường,27,20,Cả hai,,Chứa đựng phần quà bất ngờ
289,Thẻ bài sơ,Vật phẩm thường,27,20,Cả hai,,Tăng 1 điểm tinh tú
290,Thẻ bài trung,Vật phẩm thường,27,20,Cả hai,,Tăng 3 điểm tinh tú
291,Thẻ bài cao,Vật phẩm thường,27,20,Cả hai,,Tăng 9 điểm tinh tú
292,Bột mì,Vật phẩm thường,27,20,Cả hai,,Nguyên liệu làm bánh
293,Trứng,Vật phẩm thường,27,20,Cả hai,,Nguyên liệu làm bánh
294,Đường,Vật phẩm thường,27,20,Cả hai,,Nguyên liệu làm bánh
295,Hạt sen,Vật phẩm thường,27,20,Cả hai,,Nguyên liệu làm bánh
296,Đậu xanh,Vật phẩm thường,27,20,Cả hai,,Nguyên liệu làm bánh
297,Mứt,Vật phẩm thường,27,20,Cả hai,,Nguyên liệu làm bánh
298,Bánh thập cẩm,Vật phẩm thường,27,20,Cả hai,,Sử dụng sẽ nhận được kinh nghiệm
299,Bánh dẻo,Vật phẩm thường,27,20,Cả hai,,Sử dụng sẽ nhận được kinh nghiệm
300,Bánh đậu xanh,Vật phẩm thường,27,20,Cả hai,,Sử dụng sẽ nhận được kinh nghiệm
301,Bánh Pía,Vật phẩm thường,27,20,Cả hai,,Sử dụng sẽ nhận được kinh nghiệm
302,Hộp bánh thường,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện trung thu
303,Hộp bánh thượng hạng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện trung thu
304,Giấy gói thường,Vật phẩm thường,27,20,Cả hai,,Dùng làm hộp bánh
305,Giấy gói cao cấp,Vật phẩm thường,27,20,Cả hai,,Dùng làm hộp bánh
306,Mặt nạ Hannya,Mặt nạ,11,30,Nam,,Giúp thay đổi diện mạo
307,Mặt nạ Hannya,Mặt nạ,11,30,Nữ,,Giúp thay đổi diện mạo
308,Bánh trung thu phong lôi,Vật phẩm thường,27,20,Cả hai,,"Tăng 1 điểm kỹ năng, sử dụng tối đa 10 cái"
309,Bánh trung thu băng hỏa,Vật phẩm thường,27,20,Cả hai,,"Tăng 10 điểm tiềm năng, sử dụng tối đa 10 cái"
310,Hộp diêm,Vật phẩm thường,27,20,Cả hai,,Dùng để thấp đèn trung thu
311,Sách võ công Pawaraikou,Vật phẩm thường,27,60,Cả hai,,
312,Sách võ công Totogai,Vật phẩm thường,27,60,Cả hai,,
313,Sách võ công Kitsukemaguma,Vật phẩm thường,27,60,Cả hai,,
314,Sách võ công Totaaigo,Vật phẩm thường,27,60,Cả hai,,
315,Sách võ công Ikennotto,Vật phẩm thường,27,60,Cả hai,,
316,Sách võ công Ooenjo,Vật phẩm thường,27,60,Cả hai,,
317,Huyền Thiết Ngoa,Giày,8,61,Nam,,
318,Bùa Huyền Kỹ,Bùa,9,62,Cả hai,,
319,Huyền Thiết Hạ Giáp,Quần,6,63,Nam,,
320,Huyền Kỹ Bội,Ngọc bội,7,64,Cả hai,,
321,Huyền Thiết Thủ,Găng tay,4,65,Nam,,
322,Nhẫn Huyền Kỹ,Nhẫn,5,66,Cả hai,,
323,Huyền Thiết Thượng Giáp,Áo,2,67,Nam,,
324,Dây Chuyền Huyền Kỹ,Dây chuyền,3,68,Cả hai,,
325,Huyền Thiết Tuyến,Nón,0,69,Nam,,
