ID,Tên,Cấp món,Nhóm,STT khi NV cấp 40,STT khi NV cấp 60,STT khi NV cấp 80,STT khi NV cấp 100,STT khi NV cấp 103,STT khi NV cấp 109
358,Bạch ngân Bội,74,cửa hàng,,,108,114,114,114
358,Bạch ngân Bội,74,cửa hàng,,,109,115,115,115
358,Bạch ngân Bội,74,cửa hàng,,,110,116,116,116
503,Hắc Tử Bội,85,cửa hàng,,,,117,117,117
503,Hắc Tử Bội,85,cửa hàng,,,,118,118,118
503,Hắc Tử Bội,85,cửa hàng,,,,119,119,119
174,Bùa Hộ Thân,12,cửa hàng,51,81,111,120,120,120
175,Bùa Kháng Ma,22,cửa hàng,52,82,112,121,121,121
176,Bùa Phúc Mệnh,32,cửa hàng,53,83,113,122,122,122
177,Bùa Thánh Ý,42,cửa hàng,,84,114,123,123,123
178,Bùa Vạn Phước,52,cửa hàng,,85,115,124,124,124
174,Bùa Hộ Thân,12,cửa hàng,54,86,116,125,125,125
175,Bùa Kháng Ma,22,cửa hàng,55,87,117,126,126,126
176,Bùa Phúc Mệnh,32,cửa hàng,56,88,118,127,127,127
177,Bùa Thánh Ý,42,cửa hàng,,89,119,128,128,128
178,Bùa Vạn Phước,52,cửa hàng,,90,120,129,129,129
174,Bùa Hộ Thân,12,cửa hàng,57,91,121,130,130,130
175,Bùa Kháng Ma,22,cửa hàng,58,92,122,131,131,131
176,Bùa Phúc Mệnh,32,cửa hàng,59,93,123,132,132,132
177,Bùa Thánh Ý,42,cửa hàng,,94,124,133,133,133
178,Bùa Vạn Phước,52,cửa hàng,,95,125,134,134,134
318,Bùa Huyền Kỹ,62,cửa hàng,,,126,135,135,135
318,Bùa Huyền Kỹ,62,cửa hàng,,,127,136,136,136
318,Bùa Huyền Kỹ,62,cửa hàng,,,128,137,137,137
356,Bùa Bạch ngân,72,cửa hàng,,,129,138,138,138
356,Bùa Bạch ngân,72,cửa hàng,,,130,139,139,139
356,Bùa Bạch ngân,72,cửa hàng,,,131,140,140,140
502,Bùa Hắc Tử,85,cửa hàng,,,,141,141,141
502,Bùa Hắc Tử,85,cửa hàng,,,,142,142,142
502,Bùa Hắc Tử,85,cửa hàng,,,,143,143,143
164,Dây Thanh Tuyến,19,cửa hàng,60,96,132,144,144,144
166,Dây Huyết Tuyến,29,cửa hàng,61,97,133,145,145,145
168,Dây Kim Tuyến,39,cửa hàng,62,98,134,146,146,146
170,Dây Hoắc Tuyến,49,cửa hàng,,99,135,147,147,147
172,Ngân Bội Tuyến,59,cửa hàng,,100,136,148,148,148
164,Dây Thanh Tuyến,19,cửa hàng,63,101,137,149,149,149
166,Dây Huyết Tuyến,29,cửa hàng,64,102,138,150,150,150
168,Dây Kim Tuyến,39,cửa hàng,65,103,139,151,151,151
170,Dây Hoắc Tuyến,49,cửa hàng,,104,140,152,152,152
172,Ngân Bội Tuyến,59,cửa hàng,,105,141,153,153,153
164,Dây Thanh Tuyến,19,cửa hàng,66,106,142,154,154,154
166,Dây Huyết Tuyến,29,cửa hàng,67,107,143,155,155,155
168,Dây Kim Tuyến,39,cửa hàng,68,108,144,156,156,156
170,Dây Hoắc Tuyến,49,cửa hàng,,109,145,157,157,157
172,Ngân Bội Tuyến,59,cửa hàng,,110,146,158,158,158
325,Huyền Thiết Tuyến,69,cửa hàng,,,147,159,159,159
325,Huyền Thiết Tuyến,69,cửa hàng,,,148,160,160,160
325,Huyền Thiết Tuyến,69,cửa hàng,,,149,161,161,161
363,Bạch ngân Tuyến,79,cửa hàng,,,150,162,162,162
363,Bạch ngân Tuyến,79,cửa hàng,,,151,163,163,163
363,Bạch ngân Tuyến,79,cửa hàng,,,152,164,164,164
492,Hắc Tử Tuyến,85,cửa hàng,,,,165,165,165
492,Hắc Tử Tuyến,85,cửa hàng,,,,166,166,166
492,Hắc Tử Tuyến,85,cửa hàng,,,,167,167,167
154,Áo Thố,17,cửa hàng,69,111,153,168,168,168
156,Áo Vải Bông,27,cửa hàng,70,112,154,169,169,169
158,Áo Tơ Tằm,37,cửa hàng,71,113,155,170,170,170
160,Hoắc Giáp Y,47,cửa hàng,,114,156,171,171,171
162,Kim Giáp Y,57,cửa hàng,,115,157,172,172,172
154,Áo Thố,17,cửa hàng,72,116,158,173,173,173
156,Áo Vải Bông,27,cửa hàng,73,117,159,174,174,174
158,Áo Tơ Tằm,37,cửa hàng,74,118,160,175,175,175
160,Hoắc Giáp Y,47,cửa hàng,,119,161,176,176,176
162,Kim Giáp Y,57,cửa hàng,,120,162,177,177,177
154,Áo Thố,17,cửa hàng,75,121,163,178,178,178
156,Áo Vải Bông,27,cửa hàng,76,122,164,179,179,179
158,Áo Tơ Tằm,37,cửa hàng,77,123,165,180,180,180
160,Hoắc Giáp Y,47,cửa hàng,,124,166,181,181,181
162,Kim Giáp Y,57,cửa hàng,,125,167,182,182,182
323,Huyền Thiết Thượng Giáp,67,cửa hàng,,,168,183,183,183
323,Huyền Thiết Thượng Giáp,67,cửa hàng,,,169,184,184,184
323,Huyền Thiết Thượng Giáp,67,cửa hàng,,,170,185,185,185
361,Bạch ngân Thượng Giáp,77,cửa hàng,,,171,186,186,186
361,Bạch ngân Thượng Giáp,77,cửa hàng,,,172,187,187,187
361,Bạch ngân Thượng Giáp,77,cửa hàng,,,173,188,188,188
494,Hắc Tử Thượng Giáp,85,cửa hàng,,,,189,189,189
494,Hắc Tử Thượng Giáp,85,cửa hàng,,,,190,190,190
494,Hắc Tử Thượng Giáp,85,cửa hàng,,,,191,191,191
144,Thanh Mã Thủ,15,cửa hàng,78,126,174,192,192,192
146,Huyết Hổ Thủ,25,cửa hàng,79,127,175,193,193,193
148,Kim Long Thủ,35,cửa hàng,80,128,176,194,194,194
150,Hoắc Thiết Thủ,45,cửa hàng,,129,177,195,195,195
152,Kim Triền Thủ,55,cửa hàng,,130,178,196,196,196
144,Thanh Mã Thủ,15,cửa hàng,81,131,179,197,197,197
146,Huyết Hổ Thủ,25,cửa hàng,82,132,180,198,198,198
148,Kim Long Thủ,35,cửa hàng,83,133,181,199,199,199
150,Hoắc Thiết Thủ,45,cửa hàng,,134,182,200,200,200
152,Kim Triền Thủ,55,cửa hàng,,135,183,201,201,201
144,Thanh Mã Thủ,15,cửa hàng,84,136,184,202,202,202
146,Huyết Hổ Thủ,25,cửa hàng,85,137,185,203,203,203
148,Kim Long Thủ,35,cửa hàng,86,138,186,204,204,204
150,Hoắc Thiết Thủ,45,cửa hàng,,139,187,205,205,205
152,Kim Triền Thủ,55,cửa hàng,,140,188,206,206,206
321,Huyền Thiết Thủ,65,cửa hàng,,,189,207,207,207
321,Huyền Thiết Thủ,65,cửa hàng,,,190,208,208,208
321,Huyền Thiết Thủ,65,cửa hàng,,,191,209,209,209
359,Bạch ngân Thủ,75,cửa hàng,,,192,210,210,210
359,Bạch ngân Thủ,75,cửa hàng,,,193,211,211,211
359,Bạch ngân Thủ,75,cửa hàng,,,194,212,212,212
498,Hắc Tử Thủ,85,cửa hàng,,,,213,213,213
498,Hắc Tử Thủ,85,cửa hàng,,,,214,214,214
498,Hắc Tử Thủ,85,cửa hàng,,,,215,215,215
134,Quần Thố,13,cửa hàng,87,141,195,216,216,216
136,Quần Vải Bông,23,cửa hàng,88,142,196,217,217,217
138,Quần Tơ Tằm,33,cửa hàng,89,143,197,218,218,218
140,Hoắc Giáp,43,cửa hàng,,144,198,219,219,219
142,Kim Giáp,53,cửa hàng,,145,199,220,220,220
134,Quần Thố,13,cửa hàng,90,146,200,221,221,221
136,Quần Vải Bông,23,cửa hàng,91,147,201,222,222,222
138,Quần Tơ Tằm,33,cửa hàng,92,148,202,223,223,223
140,Hoắc Giáp,43,cửa hàng,,149,203,224,224,224
142,Kim Giáp,53,cửa hàng,,150,204,225,225,225
134,Quần Thố,13,cửa hàng,93,151,205,226,226,226
136,Quần Vải Bông,23,cửa hàng,94,152,206,227,227,227
138,Quần Tơ Tằm,33,cửa hàng,95,153,207,228,228,228
140,Hoắc Giáp,43,cửa hàng,,154,208,229,229,229
142,Kim Giáp,53,cửa hàng,,155,209,230,230,230
319,Huyền Thiết Hạ Giáp,63,cửa hàng,,,210,231,231,231
319,Huyền Thiết Hạ Giáp,63,cửa hàng,,,211,232,232,232
319,Huyền Thiết Hạ Giáp,63,cửa hàng,,,212,233,233,233
357,Bạch ngân Hạ Giáp,73,cửa hàng,,,213,234,234,234
357,Bạch ngân Hạ Giáp,73,cửa hàng,,,214,235,235,235
357,Bạch ngân Hạ Giáp,73,cửa hàng,,,215,236,236,236
496,Hắc Tử Hạ Giáp,85,cửa hàng,,,,237,237,237
496,Hắc Tử Hạ Giáp,85,cửa hàng,,,,238,238,238
496,Hắc Tử Hạ Giáp,85,cửa hàng,,,,239,239,239
124,Giày Thô Bố,11,cửa hàng,96,156,216,240,240,240
126,Giày Thô Ma,21,cửa hàng,97,157,217,241,241,241
128,Giày Thiên Tằm,31,cửa hàng,98,158,218,242,242,242
130,Hoắc Giáp Ngoa,41,cửa hàng,,159,219,243,243,243
132,Kim Giáp Ngoa,51,cửa hàng,,160,220,244,244,244
124,Giày Thô Bố,11,cửa hàng,99,161,221,245,245,245
126,Giày Thô Ma,21,cửa hàng,100,162,222,246,246,246
128,Giày Thiên Tằm,31,cửa hàng,101,163,223,247,247,247
130,Hoắc Giáp Ngoa,41,cửa hàng,,164,224,248,248,248
132,Kim Giáp Ngoa,51,cửa hàng,,165,225,249,249,249
124,Giày Thô Bố,11,cửa hàng,102,166,226,250,250,250
126,Giày Thô Ma,21,cửa hàng,103,167,227,251,251,251
128,Giày Thiên Tằm,31,cửa hàng,104,168,228,252,252,252
130,Hoắc Giáp Ngoa,41,cửa hàng,,169,229,253,253,253
132,Kim Giáp Ngoa,51,cửa hàng,,170,230,254,254,254
317,Huyền Thiết Ngoa,61,cửa hàng,,,231,255,255,255
317,Huyền Thiết Ngoa,61,cửa hàng,,,232,256,256,256
317,Huyền Thiết Ngoa,61,cửa hàng,,,233,257,257,257
355,Bạch ngân Ngoa,71,cửa hàng,,,234,258,258,258
355,Bạch ngân Ngoa,71,cửa hàng,,,235,259,259,259
355,Bạch ngân Ngoa,71,cửa hàng,,,236,260,260,260
500,Hắc Tử Ngoa,85,cửa hàng,,,,261,261,261
500,Hắc Tử Ngoa,85,cửa hàng,,,,262,262,262
500,Hắc Tử Ngoa,85,cửa hàng,,,,263,263,263
165,Thanh Ngọc Trâm,19,cửa hàng,105,171,237,264,264,264
167,Hồng Bảo Trâm,29,cửa hàng,106,172,238,265,265,265
169,Kim Lân Trâm,39,cửa hàng,107,173,239,266,266,266
171,Bích Hoa Trâm,49,cửa hàng,,174,240,267,267,267
173,Ngân Hoa Trâm,59,cửa hàng,,175,241,268,268,268
165,Thanh Ngọc Trâm,19,cửa hàng,108,176,242,269,269,269
167,Hồng Bảo Trâm,29,cửa hàng,109,177,243,270,270,270
169,Kim Lân Trâm,39,cửa hàng,110,178,244,271,271,271
171,Bích Hoa Trâm,49,cửa hàng,,179,245,272,272,272
173,Ngân Hoa Trâm,59,cửa hàng,,180,246,273,273,273
165,Thanh Ngọc Trâm,19,cửa hàng,111,181,247,274,274,274
167,Hồng Bảo Trâm,29,cửa hàng,112,182,248,275,275,275
169,Kim Lân Trâm,39,cửa hàng,113,183,249,276,276,276
171,Bích Hoa Trâm,49,cửa hàng,,184,250,277,277,277
173,Ngân Hoa Trâm,59,cửa hàng,,185,251,278,278,278
330,Huyền Thiết Trâm,69,cửa hàng,,,252,279,279,279
330,Huyền Thiết Trâm,69,cửa hàng,,,253,280,280,280
330,Huyền Thiết Trâm,69,cửa hàng,,,254,281,281,281
368,Bạch ngân Trâm,79,cửa hàng,,,255,282,282,282
368,Bạch ngân Trâm,79,cửa hàng,,,256,283,283,283
368,Bạch ngân Trâm,79,cửa hàng,,,257,284,284,284
493,Hắc Tử Trâm,85,cửa hàng,,,,285,285,285
493,Hắc Tử Trâm,85,cửa hàng,,,,286,286,286
493,Hắc Tử Trâm,85,cửa hàng,,,,287,287,287
155,Áo Thố,17,cửa hàng,114,186,258,288,288,288
157,Áo Vải Bông,27,cửa hàng,115,187,259,289,289,289
159,Áo Tơ Tằm,37,cửa hàng,116,188,260,290,290,290
161,Hoắc Giáp Y,47,cửa hàng,,189,261,291,291,291
163,Kim Giáp Y,57,cửa hàng,,190,262,292,292,292
155,Áo Thố,17,cửa hàng,117,191,263,293,293,293
157,Áo Vải Bông,27,cửa hàng,118,192,264,294,294,294
159,Áo Tơ Tằm,37,cửa hàng,119,193,265,295,295,295
161,Hoắc Giáp Y,47,cửa hàng,,194,266,296,296,296
163,Kim Giáp Y,57,cửa hàng,,195,267,297,297,297
155,Áo Thố,17,cửa hàng,120,196,268,298,298,298
157,Áo Vải Bông,27,cửa hàng,121,197,269,299,299,299
159,Áo Tơ Tằm,37,cửa hàng,122,198,270,300,300,300
161,Hoắc Giáp Y,47,cửa hàng,,199,271,301,301,301
163,Kim Giáp Y,57,cửa hàng,,200,272,302,302,302
329,Huyền Thiết Thượng Giáp,67,cửa hàng,,,273,303,303,303
329,Huyền Thiết Thượng Giáp,67,cửa hàng,,,274,304,304,304
329,Huyền Thiết Thượng Giáp,67,cửa hàng,,,275,305,305,305
367,Bạch ngân Thượng Giáp,77,cửa hàng,,,276,306,306,306
367,Bạch ngân Thượng Giáp,77,cửa hàng,,,277,307,307,307
367,Bạch ngân Thượng Giáp,77,cửa hàng,,,278,308,308,308
495,Hắc Tử Thượng Giáp,85,cửa hàng,,,,309,309,309
495,Hắc Tử Thượng Giáp,85,cửa hàng,,,,310,310,310
495,Hắc Tử Thượng Giáp,85,cửa hàng,,,,311,311,311
145,Thanh Mã Thủ,15,cửa hàng,123,201,279,312,312,312
147,Huyết Hổ Thủ,25,cửa hàng,124,202,280,313,313,313
149,Kim Long Thủ,35,cửa hàng,125,203,281,314,314,314
151,Hoắc Thiết Thủ,45,cửa hàng,,204,282,315,315,315
153,Kim Triền Thủ,55,cửa hàng,,205,283,316,316,316
145,Thanh Mã Thủ,15,cửa hàng,126,206,284,317,317,317
147,Huyết Hổ Thủ,25,cửa hàng,127,207,285,318,318,318
149,Kim Long Thủ,35,cửa hàng,128,208,286,319,319,319
151,Hoắc Thiết Thủ,45,cửa hàng,,209,287,320,320,320
153,Kim Triền Thủ,55,cửa hàng,,210,288,321,321,321
145,Thanh Mã Thủ,15,cửa hàng,129,211,289,322,322,322
147,Huyết Hổ Thủ,25,cửa hàng,130,212,290,323,323,323
149,Kim Long Thủ,35,cửa hàng,131,213,291,324,324,324
151,Hoắc Thiết Thủ,45,cửa hàng,,214,292,325,325,325
153,Kim Triền Thủ,55,cửa hàng,,215,293,326,326,326
328,Huyền Thiết Thủ,65,cửa hàng,,,294,327,327,327
328,Huyền Thiết Thủ,65,cửa hàng,,,295,328,328,328
328,Huyền Thiết Thủ,65,cửa hàng,,,296,329,329,329
366,Bạch ngân Thủ,75,cửa hàng,,,297,330,330,330
366,Bạch ngân Thủ,75,cửa hàng,,,298,331,331,331
366,Bạch ngân Thủ,75,cửa hàng,,,299,332,332,332
499,Hắc Tử Thủ,85,cửa hàng,,,,333,333,333
499,Hắc Tử Thủ,85,cửa hàng,,,,334,334,334
499,Hắc Tử Thủ,85,cửa hàng,,,,335,335,335
135,Quần Thố,13,cửa hàng,132,216,300,336,336,336
137,Quần Vải Bông,23,cửa hàng,133,217,301,337,337,337
139,Quần Tơ Tằm,33,cửa hàng,134,218,302,338,338,338
141,Hoắc Giáp,43,cửa hàng,,219,303,339,339,339
143,Kim Giáp,53,cửa hàng,,220,304,340,340,340
135,Quần Thố,13,cửa hàng,135,221,305,341,341,341
137,Quần Vải Bông,23,cửa hàng,136,222,306,342,342,342
139,Quần Tơ Tằm,33,cửa hàng,137,223,307,343,343,343
141,Hoắc Giáp,43,cửa hàng,,224,308,344,344,344
143,Kim Giáp,53,cửa hàng,,225,309,345,345,345
135,Quần Thố,13,cửa hàng,138,226,310,346,346,346
137,Quần Vải Bông,23,cửa hàng,139,227,311,347,347,347
139,Quần Tơ Tằm,33,cửa hàng,140,228,312,348,348,348
141,Hoắc Giáp,43,cửa hàng,,229,313,349,349,349
143,Kim Giáp,53,cửa hàng,,230,314,350,350,350
327,Huyền Thiết Hạ Giáp,63,cửa hàng,,,315,351,351,351
327,Huyền Thiết Hạ Giáp,63,cửa hàng,,,316,352,352,352
327,Huyền Thiết Hạ Giáp,63,cửa hàng,,,317,353,353,353
365,Bạch ngân Hạ Giáp,73,cửa hàng,,,318,354,354,354
365,Bạch ngân Hạ Giáp,73,cửa hàng,,,319,355,355,355
365,Bạch ngân Hạ Giáp,73,cửa hàng,,,320,356,356,356
497,Hắc Tử Hạ Giáp,85,cửa hàng,,,,357,357,357
497,Hắc Tử Hạ Giáp,85,cửa hàng,,,,358,358,358
497,Hắc Tử Hạ Giáp,85,cửa hàng,,,,359,359,359
125,Giày Thô Bố,11,cửa hàng,141,231,321,360,360,360
127,Giày Thô Ma,21,cửa hàng,142,232,322,361,361,361
129,Giày Thiên Tằm,31,cửa hàng,143,233,323,362,362,362
131,Hoắc Giáp Ngoa,41,cửa hàng,,234,324,363,363,363
133,Kim Giáp Ngoa,51,cửa hàng,,235,325,364,364,364
125,Giày Thô Bố,11,cửa hàng,144,236,326,365,365,365
127,Giày Thô Ma,21,cửa hàng,145,237,327,366,366,366
129,Giày Thiên Tằm,31,cửa hàng,146,238,328,367,367,367
131,Hoắc Giáp Ngoa,41,cửa hàng,,239,329,368,368,368
133,Kim Giáp Ngoa,51,cửa hàng,,240,330,369,369,369
125,Giày Thô Bố,11,cửa hàng,147,241,331,370,370,370
127,Giày Thô Ma,21,cửa hàng,148,242,332,371,371,371
129,Giày Thiên Tằm,31,cửa hàng,149,243,333,372,372,372
131,Hoắc Giáp Ngoa,41,cửa hàng,,244,334,373,373,373
133,Kim Giáp Ngoa,51,cửa hàng,,245,335,374,374,374
326,Huyền Thiết Ngoa,61,cửa hàng,,,336,375,375,375
326,Huyền Thiết Ngoa,61,cửa hàng,,,337,376,376,376
326,Huyền Thiết Ngoa,61,cửa hàng,,,338,377,377,377
364,Bạch ngân Ngoa,71,cửa hàng,,,339,378,378,378
364,Bạch ngân Ngoa,71,cửa hàng,,,340,379,379,379
364,Bạch ngân Ngoa,71,cửa hàng,,,341,380,380,380
501,Hắc Tử Ngoa,85,cửa hàng,,,,381,381,381
501,Hắc Tử Ngoa,85,cửa hàng,,,,382,382,382
501,Hắc Tử Ngoa,85,cửa hàng,,,,383,383,383
632,Thái Dương Vô Cực Kiếm,90,cấp 90+,,,,384,384,384
633,Thái Dương Thiên Hỏa Tiêu,90,cấp 90+,,,,385,385,385
634,Thái Dương Táng Hồn Dao,90,cấp 90+,,,,386,386,386
635,Thái Dương Băng Thần Cung,90,cấp 90+,,,,387,387,387
636,Thái Dương Chiến Lục Đao,90,cấp 90+,,,,388,388,388
637,Thái Dương Hoàng Phong Phiến,90,cấp 90+,,,,389,389,389
626,Thái Dương Cốt Ngọc Ngoa,91,cấp 90+,,,,390,390,390
627,Thái Dương Cốt Ngọc Ngoa,91,cấp 90+,,,,391,391,391
628,Thái Dương Cốt Ngọc Phù,92,cấp 90+,,,,392,392,392
622,Thái Dương Cốt Ngọc Hạ Giáp,93,cấp 90+,,,,393,393,393
623,Thái Dương Cốt Ngọc Hạ Giáp,93,cấp 90+,,,,394,394,394
629,Thái Dương Cốt Ngọc Bội,94,cấp 90+,,,,395,395,395
624,Thái Dương Cốt Ngọc Thủ,95,cấp 90+,,,,396,396,396
625,Thái Dương Cốt Ngọc Thủ,95,cấp 90+,,,,397,397,397
